新华社 ni S-Ni
惠灵顿 ns S-Ns
１月 nt O
１９日 nt O
电 n O
据 p O
美国 ns S-Ns
地质 n O
勘探局 n O
报告 n O
位于 v O
南 nd O
太平洋 ns S-Ns
的 u O
新喀里多尼亚 ns S-Ns
附近 nd O
海域 n O
１９日 nt O
发生 v O
里氏 n O
６．８ m O
级 q O
地震 n O
目前 nt O
尚未 d O
有 v O
人员 n O
伤亡 v O
或 c O
财产 n O
损失 n O
的 u O
报告 n O
当天 nt O
的 u O
地震 n O
发生 v O
在 p O
北京 ns S-Ns
时间 n O
１１时 nt O
３５分 nt O
震中 n O
在 p O
洛亚蒂 ns B-Ns
群岛 n E-Ns
附近 nd O
震源 n O
深度 n O
约 d O
３３ m O
公里 q O
位于 v O
夏威夷 ns S-Ns
的 u O
太平洋 ns B-Ni
海啸 n I-Ni
预警 v I-Ni
中心 n E-Ni
没有 d O
发布 v O
海啸 n O
警报 n O
新喀里多尼亚 ns S-Ns
位于 v O
南 nd O
太平洋 ns S-Ns
面积 n O
１８５７５ m O
平方公里 q O
由 p O
新喀里多尼亚岛 ns B-Ni
洛亚蒂 ns I-Ni
群岛 n E-Ni
和 c O
无人 i O
居住 v O
的 u O
切斯特菲尔德 ns S-Ns
群岛 n O
组成 v O
新喀里多尼亚 ns S-Ns
是 v O
法国 ns S-Ns
的 u O
海外 nl O
属地 n O
