中新社 ni S-Ni
重庆 ns S-Ns
四月 nt O
十二日 nt O
电 n O
郭晋嘉 nh S-Nh
蒋旭 nh O
记者 n O
今日 nt O
在 p O
重庆市 ns S-Ns
消防 b O
总队 n O
证实 v O
四月 nt O
十一日 nt O
晚 nt O
渝 j O
邻 n O
高速 b O
重庆 ns S-Ns
段 n O
一 m O
辆 q O
小轿车 n O
与 p O
货车 n O
相撞 v O
小轿车 n O
起火 v O
燃烧 v O
致 v O
四 m O
人 n O
死亡 v O
据 p O
出事 v O
货车 n O
驾驶员 n O
介绍 v O
当日 nt O
晚上 nt O
二十一时 nt O
零四分 nt O
他 r O
驾驶 v O
车牌号 n O
为 p O
渝 j O
B ws O
二三九 m O
四七 m O
的 u O
大 a O
货车 n O
从 p O
四川 ns S-Ns
邻水 n O
驶 v O
往 p O
重庆 ns S-Ns
方向 n O
当 v O
车 n O
行 v O
至 v O
到 p O
重庆 ns B-Ns
大湾 ns E-Ns
收费站 n O
两 m O
公里 q O
处时 v O
一 m O
辆 q O
车牌号 n O
为 p O
渝 j O
AW ws O
八一七七 m O
的 u O
福克斯 nz O
小轿车 n O
从 p O
后面 nd O
飞驰 v O
撞 v O
上 v O
货车 n O
尾部 n O
当 p O
他 r O
把 p O
车 n O
停 v O
到 v O
路边 nl O
准备 v O
下车 v O
救人 v O
时 n O
只 d O
听轰 v O
的 u O
一 m O
声 q O
小轿车 n O
前部 nd O
顿时 d O
燃烧 v O
起来 v O
据悉 v O
此次 r O
事故 n O
共 d O
造成 v O
小轿车 n O
上 nd O
三 m O
名 q O
男 b O
乘客 n O
和 c O
一 m O
名 q O
女 b O
乘客 n O
死亡 v O
目前 nt O
事故 n O
原因 n O
还 d O
在 d O
进一步 d O
调查 v O
中 nd O
