新华社 ni S-Ni
重庆 ns S-Ns
5月 nt O
12日 nt O
电 n O
记者 n O
从 p O
重庆市 ns S-Ns
有关 v O
部门 n O
了解 v O
到 v O
12日 nt O
下午 nt O
重庆 ns S-Ns
多数 m O
地区 n O
有 v O
明显 a O
震感 n O
梁平县 ns S-Ns
两 m O
所 q O
小学 n O
垮塌 v O
4 m O
名 q O
学生 n O
死亡 v O
- wp O
- wp O
截至 v O
目前 nt O
收到 v O
的 u O
情况 n O
- wp O
重庆 ns B-Ni
梁平县 ns I-Ni
礼让镇 ns I-Ni
中心 n I-Ni
小学 n E-Ni
顶楼 n O
发生 v O
垮 v O
塌 v O
-10 m O
多 m O
名 q O
学生 n O
受伤 v O
- wp O
其中 r O
2 m O
人 n O
重伤 n O
- wp O
- wp O
梁平县 ns B-Ni
文化镇 ns I-Ni
小学 n E-Ni
教学楼 n O
发生 v O
垮 v O
塌 v O
-100 m O
多 m O
名 q O
学生 n O
受伤 v O
-4 m O
名 q O
学生 n O
死亡 v O
- wp O
部分 m O
学生 n O
被 p O
掩埋 v O
- wp O
有关 v O
情况 n O
将 d O
随时 d O
续报 v O
- wp O
- wp O
梁平县 ns S-Ns
出现 v O
震感 n O
后 nd O
县委 n O
书记 n O
张道华 nh S-Nh
县长 n O
李志雄 nh S-Nh
立即 d O
指示 v O
相关 v O
部门 n O
和 c O
各 r O
乡镇 n O
- wp O
收集 v O
震灾 n O
情况 n O
- wp O
- wp O
县委 n O
书记 n O
张道华 nh S-Nh
带领 v O
相关 v O
部门 n O
负责人 n O
实地 d O
察看 v O
- wp O
指挥 v O
抢险 v O
救灾 v O
- wp O
县长 n O
李志雄 nh S-Nh
负责 v O
统一 a O
调度 v O
指挥 v O
- wp O
公安 n O
消防 b O
医院 n O
120 m O
车 q O
已 d O
赶往 v O
现场 nl O
- wp O
施救 v O
- wp O
- wp O
- wp O
记者 n O
还 d O
了解 v O
到 v O
-12 m O
日 q O
14时 nt O
30分 nt O
左右 m O
酉阳县 ns S-Ns
县城 n O
以及 c O
龙潭 ns S-Ns
酉 n O
酬 v O
大溪丁市 ns B-Ns
后坪 ns E-Ns
等 u O
乡镇 n O
普遍 a O
感受 v O
到 v O
微震 a O
- wp O
房屋 n O
轻微 a O
震动 v O
目前 nt O
无 v O
人员 n O
伤亡 v O
和 c O
财产 n O
损失 v O
情况 n O
- wp O
- wp O
情况 n O
发生 v O
后 nd O
- wp O
广大 b O
群众 n O
纷纷 d O
从 p O
房屋 n O
里 nd O
跑 v O
到 v O
广场 n O
户外 nl O
空地 n O
等 u O
地方 n O
- wp O
暂 d O
辟 v O
目前 nt O
全县 n O
生产 v O
生活 v O
正常 a O
水电 n O
气 n O
供应 v O
正常 a O
- wp O
--12 m O
日 q O
14时 nt O
30分 nt O
左右 m O
云阳县 ns S-Ns
出现 v O
轻微 a O
地 u O
动 v O
- wp O
县城 n O
内 nd O
居民 n O
明显 a O
感觉 n O
- wp O
楼房 n O
晃动 v O
持续 v O
时间 n O
五 m O
分钟 q O
左右 m O
- wp O
- wp O
震感 n O
出现 v O
后 nd O
造成 v O
联通 v O
移动 v O
小 a O
灵通 a O
手机 n O
信号 n O
中断 v O
- wp O
居民 n O
大多 d O
聚集 v O
到 v O
广场 n O
街道 n O
等 u O
空旷 a O
地带 n O
- wp O
观望 v O
- wp O
截至 v O
目前 nt O
没有 d O
接到 v O
人员 n O
伤亡 v O
及 c O
财产 n O
损失 v O
报告 n O
- wp O
大多数 m O
居民 n O
已经 d O
消除 v O
恐惧 a O
回到 v O
家中 nl O
- wp O
对 p O
此 r O
- wp O
云阳 ns S-Ns
县委 n O
县政府 n O
高度 d O
重视 v O
要求 v O
相关 v O
部门 n O
密切 a O
关注 v O
事态 n O
发展 v O
- wp O
受灾 v O
情况 n O
等 u O
正在 d O
收集 v O
中 j S-Ns
