中新社 ni S-Ni
成都 ns S-Ns
五月 nt O
十二日 nt O
电 n O
记者 n O
从 p O
四川省 ns B-Ni
地震局 n E-Ni
获悉 v O
成都市 ns S-Ns
迄今 d O
发生 v O
余震 n O
四十四 m O
次 q O
最 d O
大 a O
震级 n O
五点 nt O
零级 b O
市区 nl O
主要 b O
街道 n O
没有 d O
看到 v O
房屋 n O
倒塌 v O
现象 n O
但 c O
市民 n O
均 d O
不 d O
愿 v O
回家 v O
四川省 ns B-Ns
阿坝州 ns I-Ns
汶川县 ns E-Ns
境内 nl O
发生 v O
七点八 m O
级 q O
地震 n O
震区 n O
因 p O
通讯 n O
中断 v O
仍然 d O
没有 d O
受灾 v O
情况 n O
消息 n O
绵阳市 ns B-Ns
三台县 ns E-Ns
因 p O
水塔 n O
倒塌 v O
一 m O
人 n O
死亡 v O
安县 ns S-Ns
也 d O
有 v O
人员 n O
受伤 v O
成都 ns S-Ns
移动 v O
已 d O
开展 v O
通讯 n O
维修 v O
工作 v O
有关 v O
详情 n O
正在 d O
进一步 d O
调查 v O
了解 v O
之中 nd O
四川省 ns S-Ns
省长 n O
蒋巨峰 nh S-Nh
已 d O
召集 v O
省 n O
地震局 n O
省军区 n O
省 n O
武警 n O
总队 n O
等 u O
单位 n O
召开 v O
了 u O
紧急 a O
工作 v O
会议 n O
安排 v O
部署 v O
了 u O
抗震救灾 i O
相关 v O
工作 v O
并 c O
安排 v O
成都 ns B-Ni
空军 n I-Ni
派遣 v I-Ni
直升机 n E-Ni
前往 v O
震区 n O
调查 v O
了解 v O
震情 n O
灾情 n O
省 n O
地震局 n O
于 p O
十二日 nt O
十五 m O
时 n O
十五分 nt O
召开 v O
了 u O
新闻 n O
发布会 n O
及时 a O
将 p O
此次 r O
地震 n O
的 u O
震情 n O
灾情 n O
向 p O
新闻 n O
媒体 n O
作 v O
了 u O
通报 v O
目前 nt O
四川省 ns B-Ni
地震局 n E-Ni
正 d O
抓紧 v O
组织 v O
震后 nt O
趋势 n O
会商 v O
工作 v O
