新华社 ni S-Ni
昆明 ns S-Ns
12月 nt O
26日 nt O
电 n O
26日 nt O
记者 n O
从 p O
云南 ns B-Ns
瑞丽市 ns E-Ns
抗震救灾 i O
指挥部 n O
了解 v O
到 v O
截至 v O
17时 nt O
瑞丽 ns S-Ns
49 m O
级 q O
地震 n O
已 d O
造成 v O
19 m O
人 n O
受伤 v O
其中 r O
重伤 n O
3 m O
人 n O
轻伤 n O
16 m O
人 n O
暂 d O
无 v O
人员 n O
死亡 v O
报告 n O
26日 nt O
4时 nt O
20分 nt O
和 c O
5时 nt O
25分 nt O
位于 v O
中 j S-Ns
缅 j O
边境 nl O
地区 n O
的 u O
云南省 ns B-Ns
德宏 nz I-Ns
傣族 nz I-Ns
景颇族 nz I-Ns
自治州 n E-Ns
瑞丽市 ns S-Ns
先后 d O
发生 v O
49 m O
级 q O
地震 n O
和 c O
40 m O
级 q O
地震 n O
全市 n O
震感 n O
强烈 a O
记者 n O
从 p O
瑞丽市 ns B-Ni
抗震救灾 i I-Ni
指挥部 n E-Ni
了解 v O
到 v O
全市 n O
共有 v O
10512 m O
户 q O
49789 m O
人 n O
受灾 v O
目前 nt O
已 d O
紧急 a O
转移 v O
安置 v O
灾区 n O
群众 n O
2919 m O
户 q O
9496 m O
人 n O
据 p O
初步 d O
核查 v O
的 u O
情况 n O
此次 r O
地震 n O
损失 n O
较为 d O
严重 a O
的 u O
主要 d O
是 v O
民房 n O
学校 n O
以及 c O
党政机关 n O
企事业 n O
单位 n O
办公 v O
和 c O
居民 n O
住房 n O
地震 n O
共 d O
造成 v O
房屋 n O
倒塌 v O
30 m O
户 q O
99 m O
间 q O
重损 v O
2769 m O
户 q O
9626 m O
间 q O
中损 j O
2440 m O
户 q O
7750 m O
间 q O
轻损 v O
5406 m O
户 q O
17406 m O
间 q O
32 m O
所 q O
中小学校 n O
受到 v O
不同 a O
程度 n O
的 u O
损坏 v O
卫生 a O
水利 n O
交通 n O
电力 n O
通信 v O
等 u O
基础 n O
设施 n O
也 d O
不同 a O
程度 n O
受到 v O
损坏 v O
目前 nt O
瑞丽市 ns B-Ni
民族 n I-Ni
医院 n E-Ni
等 u O
医疗 n O
卫生 a O
部门 n O
积极 a O
开展 v O
受伤 v O
人员 n O
救治 v O
各 r O
受伤 v O
人员 n O
已 d O
得到 v O
妥善 a O
医治 v O
民政部门 n O
在 p O
抓紧 v O
核查 v O
灾情 n O
的 u O
同时 n O
正在 d O
积极 a O
开展 v O
帐篷 n O
等 u O
救灾 v O
物资 n O
的 u O
调运 v O
发放 v O
工作 v O
26 m O
日州市 ns S-Ns
党委 n O
政府 n O
已 d O
安排 v O
专项 b O
应急 v O
经费 n O
30万 m O
元 q O
用于 v O
抗震救灾 i O
工作 v O
